variant,rule,seed,complete,has_activations,best_loss,final_loss,n_iter_run,valid_tp_count,valid_tp_total,slope_short,slope_long
bptt,bptt,0,True,True,0.04550094157457352,0.12941670417785645,3000,0,20,,
bptt,bptt,1,True,True,0.043885309249162674,0.16421878337860107,3000,5,20,0.00046047943881021144,
bptt,bptt,2,True,True,0.04997244104743004,0.30045509338378906,3000,0,20,,
bptt,bptt,3,True,True,0.015399593859910965,0.15193283557891846,3000,15,20,0.4691929443436949,0.07445433520143421
bptt,bptt,4,True,True,0.017672155052423477,0.025631001219153404,3000,20,20,-0.0002761231198438576,-4.482046764961459e-05
bptt,bptt,5,True,True,0.0030192111153155565,0.008125370368361473,3000,20,20,0.6947056911618334,0.8066678276194802
bptt,bptt,6,True,True,0.032699283212423325,0.1753195822238922,3000,10,20,0.018354273405892827,0.001066672556492749
bptt,bptt,7,True,True,0.028335167095065117,0.1785919964313507,3000,15,20,0.015463093519310418,0.004423300696616698
bptt,bptt,8,True,True,0.0023734308779239655,0.0053654504008591175,3000,20,20,0.7882604862719734,0.7635866155690259
bptt,bptt,9,True,True,0.03914673626422882,0.17644274234771729,3000,15,20,0.04028054895713244,-0.003771119041013632
pc_steps20,pc,0,True,False,0.05141670841535159,0.08677780591970519,3000,0,20,,
pc_steps20,pc,1,True,True,0.03486467675494763,0.08082099595024339,3000,0,20,,
pc_steps20,pc,2,True,False,0.027062561484416076,0.08991614832176985,3000,0,20,,
pc_steps20,pc,3,True,False,0.036355953038295856,0.10120787971236965,3000,0,20,,
pc_steps20,pc,4,True,False,0.013835076707998318,0.08729499620352751,3000,0,20,,
pc_steps20,pc,5,True,True,0.008422391217454035,0.08953553399877422,3000,0,20,,
pc_steps20,pc,6,True,False,0.03990112701592418,0.08888335931007406,3000,0,20,,
pc_steps20,pc,7,True,True,0.023144741079966707,0.0924785952402214,3000,0,20,,
pc_steps20,pc,8,True,False,0.029766288924007043,0.08164725659757799,3000,0,20,,
pc_steps20,pc,9,True,True,0.022671722129539208,0.08909975173156386,3000,0,20,,
pc_steps100,pc,0,True,True,7.968120231020057e-05,0.0002533915059182419,3000,5,20,-2.4891358787725647e-05,
pc_steps100,pc,1,False,True,,0.0871014759336502,2800,,,,
pc_steps100,pc,2,True,True,9.381101290607153e-05,0.00014216536226809766,3000,5,20,-1.0664929821905387,
pc_steps100,pc,3,True,True,0.00017840145928614922,0.00018360614340426587,3000,20,20,-0.021640893800062896,-1.484529954296294e-17
pc_steps100,pc,4,True,True,6.054146883356923e-05,7.954469004429289e-05,3000,20,20,-9.891899665459577e-17,1.6990996659675588e-16
pc_steps100,pc,5,True,True,0.020774348185774248,0.08729265353630081,3000,0,20,,
pc_steps100,pc,6,True,True,6.18378913104219e-05,6.837123625437916e-05,3000,0,20,,
pc_steps100,pc,7,True,True,0.03350321649117836,0.08790910966045086,3000,0,20,,
pc_steps100,pc,8,True,True,0.00047939596041827136,0.08714801392268613,3000,10,20,5.729427465535659e-17,4.4556796768892576e-17
pc_steps100,pc,9,True,True,0.013013571677123302,0.0836017696843671,3000,0,20,,
rflo,rflo,0,True,True,0.03113138910127261,0.08114886646212778,3000,15,20,0.0023114829222937168,0.005323117328454947
rflo,rflo,1,True,True,0.0375523827107385,0.0679602640503737,3000,5,20,-0.28403798570136557,
rflo,rflo,2,True,True,0.03168710760911994,0.07033884847957719,3000,5,20,-0.011242851972174919,
rflo,rflo,3,True,True,0.030905436832283546,0.054678304527776826,3000,15,20,-0.007163631378631459,-0.005312878253177467
rflo,rflo,4,True,True,0.03577342742386087,0.11807498738320892,3000,5,20,-0.0001649636069989396,
rflo,rflo,5,True,True,0.03729758710645883,0.08481048410916824,3000,5,20,-0.0003814594639693425,
rflo,rflo,6,True,True,0.03378254299315482,0.2285414282866274,3000,0,20,,
rflo,rflo,7,True,True,0.03340544339187698,0.08174200084070621,3000,20,20,0.002903836476506662,0.00019836409533355485
rflo,rflo,8,True,True,0.03734676330161604,0.10111789946564777,3000,5,20,-0.11329077836898292,
rflo,rflo,9,True,True,0.03452434579781266,0.16224927295839167,3000,10,20,-0.010141904274960763,
